noBudget,Kode_Akun,Nama_Akun,Qty,Satuan,HargaSatuan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember;;;;
115109,4.2.1.1.01,Bosnas Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115110,4.2.1.1.02,Bosnas Semester 2 (Januari-Juni),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115111,4.2.1.2.01,BOP Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115112,4.2.1.2.02,BOP Semester 2 (Januari-Juni),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115113,4.2.1.3,BANSOS/DAK/Hibah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115114,4.2.1.4.01,UN,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115115,4.2.1.4.02,APBN Lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115116,4.2.2.1.01,Bosda Semester 1 (Juli-Desember),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115117,4.2.2.1.02,Bosda Semester 2 (Januari-Juni),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115118,4.2.2.2,Gaji Guru dan Karyawan DPK,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115119,4.2.2.3,Bantuan Lain-lain,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115120,4.3.1.01,Pendapatan Koperasi Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115121,4.3.1.02,Pendapatan Kantin Sekolah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115122,4.3.2.01,Sumbangan dari Orang Tua,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115123,4.3.2.02,Sumbangan dari Alumni,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115124,4.3.2.03,Sumbangan dari Gereja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115125,4.3.2.04,Sumbangan Lainnya,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115126,5.1.1.01,Iuran Pensiun Yadapen,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115127,5.1.1.02,Iuran BPJS Kesehatan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115128,5.1.1.03,Iuran BPJS Tenaga Kerja,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115129,5.1.2.01,Gaji Guru Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115130,5.1.2.02,Gaji Karyawan Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115131,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115132,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115133,5.1.3.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115134,5.1.3.02,Pembayaran Honor Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115135,5.1.3.03,Pembayaran Honor Kelebihan Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115136,5.1.4.01,Pembayaran Honor Guru / Guru Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115137,5.1.4.02,Pembayaran Honor Tenaga Kependidikan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115138,5.1.4.03,Pembayaran Honor Kelebihan Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115139,5.2.1.01,Penyusunan Aneka Pedoman Belajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115140,5.2.1.02,Pelaksanaan Kegiatan Pengembangan Siswa,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115141,5.2.1.03,Pelaksanaan Penunjang Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115142,5.2.2.01,Penyusunan Program Perpustakaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115143,5.2.2.02,Penyusunan Program Rutin Pembelajaran,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115144,5.2.2.03,Penyusunan Program Pengelolaan Laboratorium,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115145,5.2.2.04,Penyusunan Program Ekstrakurikuler,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115146,5.2.2.05,Pengadaan Buku LKS/Majalah,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115147,5.2.3.01,Pengelolaan Media Pembelajaran Cetak,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115148,5.2.3.02,Pelaksanaan Program Kesiswaan,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115149,5.2.3.03,Pelaksanaan Pendaftaran Peserta Didik Baru (PPDB),0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
115150,5.2.3.04,Pengadaan Sarana Penunjang Kegiatan Belajar Mengajar,0,,0,0,0,0,0,0,0,0,0,0,0,0,0;;;;
