norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,35427276.00,185,Kantor Kanisius Cabang Yogyakarta
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1625048.00,185,Kantor Kanisius Cabang Yogyakarta
818,211.009,Titipan Dana BPJS Kesehatan,35,184856.00,185,Kantor Kanisius Cabang Yogyakarta
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,86340.00,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,35,566714.00,185,Kantor Kanisius Cabang Yogyakarta
816,211.007,Titipan Iuran YADAPEN,35,415597.00,185,Kantor Kanisius Cabang Yogyakarta
1362,5.1.1.01,Iuran Pensiun Yadapen,36,717840.00,185,Kantor Kanisius Cabang Yogyakarta
1348,5.1.1.02,Iuran BPJS Kesehatan,36,739416.00,185,Kantor Kanisius Cabang Yogyakarta
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,831249.00,185,Kantor Kanisius Cabang Yogyakarta
814,211.005,Titipan PPH 21,45,172058.00,185,Kantor Kanisius Cabang Yogyakarta
1371,212.002,Titipan SP,47,16640972.00,185,Kantor Kanisius Cabang Yogyakarta
1385,211.003.20,Titipan Lin-Lain,47,7324390.00,185,Kantor Kanisius Cabang Yogyakarta
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,6046527.00,128,SD Kanisius Babadan
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,7000064.00,128,SD Kanisius Babadan
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300064.00,128,SD Kanisius Babadan
818,211.009,Titipan Dana BPJS Kesehatan,35,64576.00,128,SD Kanisius Babadan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,87522.00,128,SD Kanisius Babadan
812,212.001,Titipan Dana Kesehatan,35,148695.00,128,SD Kanisius Babadan
816,211.007,Titipan Iuran YADAPEN,35,109044.00,128,SD Kanisius Babadan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,258307.00,128,SD Kanisius Babadan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,188347.00,128,SD Kanisius Babadan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,183039.00,128,SD Kanisius Babadan
1371,212.002,Titipan SP,47,1515834.00,128,SD Kanisius Babadan
1385,211.003.20,Titipan Lin-Lain,47,20000.00,128,SD Kanisius Babadan
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5543514.00,107,SD Kanisius Bandung
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,2800000.00,107,SD Kanisius Bandung
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000.00,107,SD Kanisius Bandung
818,211.009,Titipan Dana BPJS Kesehatan,35,20814.00,107,SD Kanisius Bandung
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,265974.00,107,SD Kanisius Bandung
812,212.001,Titipan Dana Kesehatan,35,135852.00,107,SD Kanisius Bandung
816,211.007,Titipan Iuran YADAPEN,35,99626.00,107,SD Kanisius Bandung
1348,5.1.1.02,Iuran BPJS Kesehatan,36,83256.00,107,SD Kanisius Bandung
1362,5.1.1.01,Iuran Pensiun Yadapen,36,172079.00,107,SD Kanisius Bandung
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,185546.00,107,SD Kanisius Bandung
1371,212.002,Titipan SP,47,2225834.00,107,SD Kanisius Bandung
1385,211.003.20,Titipan Lin-Lain,47,250000.00,107,SD Kanisius Bandung
