norek,kdrek,ket,jenis,nilai,nocabang,namacabang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,10000000.00,185,Kantor Kanisius Cabang Yogyakarta
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,10000000.00,185,Kantor Kanisius Cabang Yogyakarta
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,10000000.00,185,Kantor Kanisius Cabang Yogyakarta
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,10000000.00,185,Kantor Kanisius Cabang Yogyakarta
1362,5.1.1.01,Iuran Pensiun Yadapen,36,500000.00,185,Kantor Kanisius Cabang Yogyakarta
1348,5.1.1.02,Iuran BPJS Kesehatan,36,500000.00,185,Kantor Kanisius Cabang Yogyakarta
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,500000.00,185,Kantor Kanisius Cabang Yogyakarta
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
816,211.007,Titipan Iuran YADAPEN,35,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
818,211.009,Titipan Dana BPJS Kesehatan,35,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
814,211.005,Titipan PPH 21,45,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
815,211.006,Titipan Dana Sosial (IDS),35,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
1371,212.002,Titipan SP,47,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,47,1000000.00,185,Kantor Kanisius Cabang Yogyakarta
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,30000000.00,128,SD Kanisius Babadan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,400000.00,128,SD Kanisius Babadan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,400000.00,128,SD Kanisius Babadan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,400000.00,128,SD Kanisius Babadan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,1000000.00,128,SD Kanisius Babadan
816,211.007,Titipan Iuran YADAPEN,35,1000000.00,128,SD Kanisius Babadan
818,211.009,Titipan Dana BPJS Kesehatan,35,1000000.00,128,SD Kanisius Babadan
814,211.005,Titipan PPH 21,45,1000000.00,128,SD Kanisius Babadan
815,211.006,Titipan Dana Sosial (IDS),35,1000000.00,128,SD Kanisius Babadan
1371,212.002,Titipan SP,47,1000000.00,128,SD Kanisius Babadan
812,212.001,Titipan Dana Kesehatan,47,1000000.00,128,SD Kanisius Babadan
