norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,29246511,183,Kantor Kanisius Cabang Semarang
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,2334000,183,Kantor Kanisius Cabang Semarang
1362,5.1.1.01,Iuran Pensiun Yadapen,36,600670,183,Kantor Kanisius Cabang Semarang
1348,5.1.1.02,Iuran BPJS Kesehatan,36,856898,183,Kantor Kanisius Cabang Semarang
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,183,Kantor Kanisius Cabang Semarang
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,1416961,183,Kantor Kanisius Cabang Semarang
816,211.007,Titipan Iuran YADAPEN,35,948435,183,Kantor Kanisius Cabang Semarang
818,211.009,Titipan Dana BPJS Kesehatan,35,1071119,183,Kantor Kanisius Cabang Semarang
814,211.005,Titipan PPH 21,45,172058,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,17,450800,183,Kantor Kanisius Cabang Semarang
1371,212.002,Titipan SP,47,2235000,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,47,474214,183,Kantor Kanisius Cabang Semarang
817,211.008,Titipan Top Up Yadapen,35,450000,183,Kantor Kanisius Cabang Semarang
1377,212.003,Titipan Tabungan Tangkas ,47,100000,183,Kantor Kanisius Cabang Semarang
1385,211.003.20,Titipan Lain - lain,47,1000000,183,Kantor Kanisius Cabang Semarang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,10819951,11,KB-TK Kanisius Kurmosari
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,6300003,11,KB-TK Kanisius Kurmosari
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300003,11,KB-TK Kanisius Kurmosari
1362,5.1.1.01,Iuran Pensiun Yadapen,36,340848,11,KB-TK Kanisius Kurmosari
1348,5.1.1.02,Iuran BPJS Kesehatan,36,612070,11,KB-TK Kanisius Kurmosari
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,550176,11,KB-TK Kanisius Kurmosari
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,809692,11,KB-TK Kanisius Kurmosari
816,211.007,Titipan Iuran YADAPEN,35,538183,11,KB-TK Kanisius Kurmosari
818,211.009,Titipan Dana BPJS Kesehatan,35,765085,11,KB-TK Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,47,269091,11,KB-TK Kanisius Kurmosari
