norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,28616470,183,Kantor Kanisius Cabang Semarang
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,2244000,183,Kantor Kanisius Cabang Semarang
1362,5.1.1.01,Iuran Pensiun Yadapen,36,600670,183,Kantor Kanisius Cabang Semarang
1348,5.1.1.02,Iuran BPJS Kesehatan,36,908306,183,Kantor Kanisius Cabang Semarang
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,183,Kantor Kanisius Cabang Semarang
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,183,Kantor Kanisius Cabang Semarang
816,211.007,Titipan Iuran YADAPEN,35,347765,183,Kantor Kanisius Cabang Semarang
818,211.009,Titipan Dana BPJS Kesehatan,35,227080,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,17,773000,183,Kantor Kanisius Cabang Semarang
814,211.005,Titipan PPH 21,45,172058,183,Kantor Kanisius Cabang Semarang
815,211.006,Titipan Dana Sosial (IDS),35,20000,183,Kantor Kanisius Cabang Semarang
1371,212.002,Titipan SP,47,2235000,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,35,474214,183,Kantor Kanisius Cabang Semarang
817,211.008,Titipan Top Up Yadapen,35,450000,183,Kantor Kanisius Cabang Semarang
1377,212.003,Titipan Tabungan Tangkas ,47,100000,183,Kantor Kanisius Cabang Semarang
1385,211.003.20,Titipan Lain - lain,47,1720000,183,Kantor Kanisius Cabang Semarang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2793400,7,TK Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5000000,7,TK Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,85439,7,TK Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,259516,7,TK Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,7,TK Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,7,TK Kanisius Jatingaleh
816,211.007,Titipan Iuran YADAPEN,35,49465,7,TK Kanisius Jatingaleh
818,211.009,Titipan Dana BPJS Kesehatan,35,64880,7,TK Kanisius Jatingaleh
815,211.006,Titipan Dana Sosial (IDS),35,10000,7,TK Kanisius Jatingaleh
1371,212.002,Titipan SP,47,630000,7,TK Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,35,67452,7,TK Kanisius Jatingaleh
1385,211.003.20,Titipan Lain - lain,47,65000,7,TK Kanisius Jatingaleh
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,15260777,8,SD Kanisius Jatingaleh
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2242516,8,SD Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,8,SD Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,552814,8,SD Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,908306,8,SD Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,8,SD Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,8,SD Kanisius Jatingaleh
816,211.007,Titipan Iuran YADAPEN,35,320053,8,SD Kanisius Jatingaleh
818,211.009,Titipan Dana BPJS Kesehatan,35,227080,8,SD Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,17,175000,8,SD Kanisius Jatingaleh
815,211.006,Titipan Dana Sosial (IDS),35,20000,8,SD Kanisius Jatingaleh
1371,212.002,Titipan SP,47,3895000,8,SD Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,35,436431,8,SD Kanisius Jatingaleh
817,211.008,Titipan Top Up Yadapen,35,300000,8,SD Kanisius Jatingaleh
1385,211.003.20,Titipan Lain - lain,47,555000,8,SD Kanisius Jatingaleh
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2485100,9,TK Kanisius Theresia
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1800000,9,TK Kanisius Theresia
1362,5.1.1.01,Iuran Pensiun Yadapen,36,76574,9,TK Kanisius Theresia
1348,5.1.1.02,Iuran BPJS Kesehatan,36,129758,9,TK Kanisius Theresia
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,9,TK Kanisius Theresia
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,9,TK Kanisius Theresia
816,211.007,Titipan Iuran YADAPEN,35,44333,9,TK Kanisius Theresia
818,211.009,Titipan Dana BPJS Kesehatan,35,32440,9,TK Kanisius Theresia
815,211.006,Titipan Dana Sosial (IDS),35,5000,9,TK Kanisius Theresia
812,212.001,Titipan Dana Kesehatan,35,60453,9,TK Kanisius Theresia
1385,211.003.20,Titipan Lain - lain,47,65000,9,TK Kanisius Theresia
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5824818,10,SD Kanisius Kobong
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2230196,10,SD Kanisius Kobong
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5050000,10,SD Kanisius Kobong
1362,5.1.1.01,Iuran Pensiun Yadapen,36,249463,10,SD Kanisius Kobong
1348,5.1.1.02,Iuran BPJS Kesehatan,36,648790,10,SD Kanisius Kobong
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,412632,10,SD Kanisius Kobong
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,194637,10,SD Kanisius Kobong
816,211.007,Titipan Iuran YADAPEN,35,144428,10,SD Kanisius Kobong
818,211.009,Titipan Dana BPJS Kesehatan,35,162200,10,SD Kanisius Kobong
815,211.006,Titipan Dana Sosial (IDS),35,15000,10,SD Kanisius Kobong
1371,212.002,Titipan SP,47,3208300,10,SD Kanisius Kobong
812,212.001,Titipan Dana Kesehatan,35,196944,10,SD Kanisius Kobong
817,211.008,Titipan Top Up Yadapen,35,250000,10,SD Kanisius Kobong
1385,211.003.20,Titipan Lain - lain,47,360000,10,SD Kanisius Kobong
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,10819700,11,KB-TK Kanisius Kurmosari
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,6300000,11,KB-TK Kanisius Kurmosari
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,11,KB-TK Kanisius Kurmosari
1362,5.1.1.01,Iuran Pensiun Yadapen,36,340848,11,KB-TK Kanisius Kurmosari
1348,5.1.1.02,Iuran BPJS Kesehatan,36,648790,11,KB-TK Kanisius Kurmosari
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,550176,11,KB-TK Kanisius Kurmosari
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,259516,11,KB-TK Kanisius Kurmosari
816,211.007,Titipan Iuran YADAPEN,35,197335,11,KB-TK Kanisius Kurmosari
818,211.009,Titipan Dana BPJS Kesehatan,35,162200,11,KB-TK Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,17,352000,11,KB-TK Kanisius Kurmosari
815,211.006,Titipan Dana Sosial (IDS),35,22500,11,KB-TK Kanisius Kurmosari
1371,212.002,Titipan SP,47,400000,11,KB-TK Kanisius Kurmosari
1371,212.002,Titipan SP,17,4000000,11,KB-TK Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,35,269091,11,KB-TK Kanisius Kurmosari
817,211.008,Titipan Top Up Yadapen,35,200000,11,KB-TK Kanisius Kurmosari
1385,211.003.20,Titipan Lain - lain,47,195000,11,KB-TK Kanisius Kurmosari
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,35169003,12,SD Kanisius Kurmosari
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,5877984,12,SD Kanisius Kurmosari
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,8950000,12,SD Kanisius Kurmosari
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1400000,12,SD Kanisius Kurmosari
1362,5.1.1.01,Iuran Pensiun Yadapen,36,1322921,12,SD Kanisius Kurmosari
1348,5.1.1.02,Iuran BPJS Kesehatan,36,1816612,12,SD Kanisius Kurmosari
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,2200704,12,SD Kanisius Kurmosari
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,1038064,12,SD Kanisius Kurmosari
816,211.007,Titipan Iuran YADAPEN,35,765911,12,SD Kanisius Kurmosari
818,211.009,Titipan Dana BPJS Kesehatan,35,454160,12,SD Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,17,770800,12,SD Kanisius Kurmosari
815,211.006,Titipan Dana Sosial (IDS),35,52500,12,SD Kanisius Kurmosari
1371,212.002,Titipan SP,47,14295900,12,SD Kanisius Kurmosari
1371,212.002,Titipan SP,17,54000000,12,SD Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,35,1044410,12,SD Kanisius Kurmosari
817,211.008,Titipan Top Up Yadapen,35,550000,12,SD Kanisius Kurmosari
1377,212.003,Titipan Tabungan Tangkas ,47,100000,12,SD Kanisius Kurmosari
1385,211.003.20,Titipan Lain - lain,47,1140000,12,SD Kanisius Kurmosari
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2718400,13,TK Kanisius Pekunden
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,13,TK Kanisius Pekunden
1362,5.1.1.01,Iuran Pensiun Yadapen,36,85439,13,TK Kanisius Pekunden
1348,5.1.1.02,Iuran BPJS Kesehatan,36,129758,13,TK Kanisius Pekunden
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,13,TK Kanisius Pekunden
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,13,TK Kanisius Pekunden
816,211.007,Titipan Iuran YADAPEN,35,49465,13,TK Kanisius Pekunden
818,211.009,Titipan Dana BPJS Kesehatan,35,32440,13,TK Kanisius Pekunden
812,212.001,Titipan Dana Kesehatan,17,434800,13,TK Kanisius Pekunden
815,211.006,Titipan Dana Sosial (IDS),35,2500,13,TK Kanisius Pekunden
812,212.001,Titipan Dana Kesehatan,35,67452,13,TK Kanisius Pekunden
1385,211.003.20,Titipan Lain - lain,47,65000,13,TK Kanisius Pekunden
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,17547486,14,SD Kanisius Pekunden
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1869410,14,SD Kanisius Pekunden
1362,5.1.1.01,Iuran Pensiun Yadapen,36,616796,14,SD Kanisius Pekunden
1348,5.1.1.02,Iuran BPJS Kesehatan,36,752561,14,SD Kanisius Pekunden
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,945469,14,SD Kanisius Pekunden
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,445974,14,SD Kanisius Pekunden
816,211.007,Titipan Iuran YADAPEN,35,357100,14,SD Kanisius Pekunden
818,211.009,Titipan Dana BPJS Kesehatan,35,188143,14,SD Kanisius Pekunden
815,211.006,Titipan Dana Sosial (IDS),35,20000,14,SD Kanisius Pekunden
1371,212.002,Titipan SP,47,5030000,14,SD Kanisius Pekunden
812,212.001,Titipan Dana Kesehatan,35,486943,14,SD Kanisius Pekunden
817,211.008,Titipan Top Up Yadapen,35,225000,14,SD Kanisius Pekunden
1377,212.003,Titipan Tabungan Tangkas ,47,200000,14,SD Kanisius Pekunden
1385,211.003.20,Titipan Lain - lain,47,841575,14,SD Kanisius Pekunden
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2535937,15,TK Kanisius Hasanudin
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1500000,15,TK Kanisius Hasanudin
1362,5.1.1.01,Iuran Pensiun Yadapen,36,78493,15,TK Kanisius Hasanudin
1348,5.1.1.02,Iuran BPJS Kesehatan,36,104543,15,TK Kanisius Hasanudin
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,15,TK Kanisius Hasanudin
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,15,TK Kanisius Hasanudin
816,211.007,Titipan Iuran YADAPEN,35,45444,15,TK Kanisius Hasanudin
818,211.009,Titipan Dana BPJS Kesehatan,35,26136,15,TK Kanisius Hasanudin
815,211.006,Titipan Dana Sosial (IDS),35,5000,15,TK Kanisius Hasanudin
1371,212.002,Titipan SP,47,600000,15,TK Kanisius Hasanudin
812,212.001,Titipan Dana Kesehatan,35,61968,15,TK Kanisius Hasanudin
817,211.008,Titipan Top Up Yadapen,35,200000,15,TK Kanisius Hasanudin
1385,211.003.20,Titipan Lain - lain,47,65000,15,TK Kanisius Hasanudin
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,14038600,16,SD Kanisius Hasanudin
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1977760,16,SD Kanisius Hasanudin
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,16,SD Kanisius Hasanudin
1362,5.1.1.01,Iuran Pensiun Yadapen,36,520082,16,SD Kanisius Hasanudin
1348,5.1.1.02,Iuran BPJS Kesehatan,36,519032,16,SD Kanisius Hasanudin
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,792914,16,SD Kanisius Hasanudin
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,374015,16,SD Kanisius Hasanudin
816,211.007,Titipan Iuran YADAPEN,35,301104,16,SD Kanisius Hasanudin
818,211.009,Titipan Dana BPJS Kesehatan,35,129760,16,SD Kanisius Hasanudin
815,211.006,Titipan Dana Sosial (IDS),35,17500,16,SD Kanisius Hasanudin
1371,212.002,Titipan SP,47,2994400,16,SD Kanisius Hasanudin
812,212.001,Titipan Dana Kesehatan,35,410591,16,SD Kanisius Hasanudin
817,211.008,Titipan Top Up Yadapen,35,950000,16,SD Kanisius Hasanudin
1377,212.003,Titipan Tabungan Tangkas ,47,50000,16,SD Kanisius Hasanudin
1385,211.003.20,Titipan Lain - lain,47,425000,16,SD Kanisius Hasanudin
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2436724,17,TK Kanisius Lamper Tengah
1362,5.1.1.01,Iuran Pensiun Yadapen,36,74723,17,TK Kanisius Lamper Tengah
1348,5.1.1.02,Iuran BPJS Kesehatan,36,129758,17,TK Kanisius Lamper Tengah
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,17,TK Kanisius Lamper Tengah
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,17,TK Kanisius Lamper Tengah
816,211.007,Titipan Iuran YADAPEN,35,43261,17,TK Kanisius Lamper Tengah
818,211.009,Titipan Dana BPJS Kesehatan,35,32440,17,TK Kanisius Lamper Tengah
815,211.006,Titipan Dana Sosial (IDS),35,2500,17,TK Kanisius Lamper Tengah
812,212.001,Titipan Dana Kesehatan,35,58992,17,TK Kanisius Lamper Tengah
1385,211.003.20,Titipan Lain - lain,47,65000,17,TK Kanisius Lamper Tengah
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,14038100,18,SD Kanisius Lamper Tengah
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2309206,18,SD Kanisius Lamper Tengah
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,18,SD Kanisius Lamper Tengah
1362,5.1.1.01,Iuran Pensiun Yadapen,36,522968,18,SD Kanisius Lamper Tengah
