norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,29246511,183,Kantor Kanisius Cabang Semarang
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,2334000,183,Kantor Kanisius Cabang Semarang
1362,5.1.1.01,Iuran Pensiun Yadapen,36,600670,183,Kantor Kanisius Cabang Semarang
1348,5.1.1.02,Iuran BPJS Kesehatan,36,856898,183,Kantor Kanisius Cabang Semarang
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,183,Kantor Kanisius Cabang Semarang
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,183,Kantor Kanisius Cabang Semarang
816,211.007,Titipan Iuran YADAPEN,35,347765,183,Kantor Kanisius Cabang Semarang
818,211.009,Titipan Dana BPJS Kesehatan,35,214221,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,17,450800,183,Kantor Kanisius Cabang Semarang
814,211.005,Titipan PPH 21,45,172058,183,Kantor Kanisius Cabang Semarang
1371,212.002,Titipan SP,47,2235000,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,35,474214,183,Kantor Kanisius Cabang Semarang
817,211.008,Titipan Top Up Yadapen,47,450000,183,Kantor Kanisius Cabang Semarang
1377,212.003,Titipan Tabungan Tangkas ,47,100000,183,Kantor Kanisius Cabang Semarang
1385,211.003.20,Titipan Lain - lain,47,1000000,183,Kantor Kanisius Cabang Semarang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2793499,7,TK Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1500003,7,TK Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,85439,7,TK Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,244828,7,TK Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,7,TK Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,7,TK Kanisius Jatingaleh
816,211.007,Titipan Iuran YADAPEN,35,49465,7,TK Kanisius Jatingaleh
818,211.009,Titipan Dana BPJS Kesehatan,35,61206,7,TK Kanisius Jatingaleh
1371,212.002,Titipan SP,47,630000,7,TK Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,35,67452,7,TK Kanisius Jatingaleh
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,15260542,8,SD Kanisius Jatingaleh
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2242516,8,SD Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,8,SD Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,552814,8,SD Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,856898,8,SD Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,8,SD Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,8,SD Kanisius Jatingaleh
