norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,28825313,183,Kantor Kanisius Cabang Semarang
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,2244000,183,Kantor Kanisius Cabang Semarang
1362,5.1.1.01,Iuran Pensiun Yadapen,36,605428,183,Kantor Kanisius Cabang Semarang
1348,5.1.1.02,Iuran BPJS Kesehatan,36,908306,183,Kantor Kanisius Cabang Semarang
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,183,Kantor Kanisius Cabang Semarang
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,183,Kantor Kanisius Cabang Semarang
816,211.007,Titipan Iuran YADAPEN,35,350520,183,Kantor Kanisius Cabang Semarang
818,211.009,Titipan Dana BPJS Kesehatan,35,227080,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,17,1200000,183,Kantor Kanisius Cabang Semarang
814,211.005,Titipan PPH 21,45,126290,183,Kantor Kanisius Cabang Semarang
815,211.006,Titipan Dana Sosial (IDS),35,40000,183,Kantor Kanisius Cabang Semarang
1371,212.002,Titipan SP,47,2235000,183,Kantor Kanisius Cabang Semarang
812,212.001,Titipan Dana Kesehatan,35,477970,183,Kantor Kanisius Cabang Semarang
817,211.008,Titipan Top Up Yadapen,35,450000,183,Kantor Kanisius Cabang Semarang
1385,211.003.20,Titipan Lain - lain,47,1620000,183,Kantor Kanisius Cabang Semarang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2793436,7,TK Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5050040,7,TK Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,85439,7,TK Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,259516,7,TK Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,7,TK Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,7,TK Kanisius Jatingaleh
816,211.007,Titipan Iuran YADAPEN,35,49465,7,TK Kanisius Jatingaleh
818,211.009,Titipan Dana BPJS Kesehatan,35,64880,7,TK Kanisius Jatingaleh
815,211.006,Titipan Dana Sosial (IDS),35,20000,7,TK Kanisius Jatingaleh
1371,212.002,Titipan SP,47,630000,7,TK Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,35,67452,7,TK Kanisius Jatingaleh
1385,211.003.20,Titipan Lain - lain,47,65000,7,TK Kanisius Jatingaleh
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,15430826,8,SD Kanisius Jatingaleh
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2242516,8,SD Kanisius Jatingaleh
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1750000,8,SD Kanisius Jatingaleh
1362,5.1.1.01,Iuran Pensiun Yadapen,36,556047,8,SD Kanisius Jatingaleh
1348,5.1.1.02,Iuran BPJS Kesehatan,36,908306,8,SD Kanisius Jatingaleh
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,962808,8,SD Kanisius Jatingaleh
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,454153,8,SD Kanisius Jatingaleh
816,211.007,Titipan Iuran YADAPEN,35,321925,8,SD Kanisius Jatingaleh
818,211.009,Titipan Dana BPJS Kesehatan,35,227080,8,SD Kanisius Jatingaleh
815,211.006,Titipan Dana Sosial (IDS),35,40000,8,SD Kanisius Jatingaleh
1371,212.002,Titipan SP,47,4072300,8,SD Kanisius Jatingaleh
812,212.001,Titipan Dana Kesehatan,35,438984,8,SD Kanisius Jatingaleh
817,211.008,Titipan Top Up Yadapen,35,300000,8,SD Kanisius Jatingaleh
1385,211.003.20,Titipan Lain - lain,47,555000,8,SD Kanisius Jatingaleh
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2485105,9,TK Kanisius Theresia
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1800000,9,TK Kanisius Theresia
1362,5.1.1.01,Iuran Pensiun Yadapen,36,76574,9,TK Kanisius Theresia
1348,5.1.1.02,Iuran BPJS Kesehatan,36,129758,9,TK Kanisius Theresia
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,137544,9,TK Kanisius Theresia
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,64879,9,TK Kanisius Theresia
816,211.007,Titipan Iuran YADAPEN,35,44333,9,TK Kanisius Theresia
818,211.009,Titipan Dana BPJS Kesehatan,35,32440,9,TK Kanisius Theresia
815,211.006,Titipan Dana Sosial (IDS),35,10000,9,TK Kanisius Theresia
812,212.001,Titipan Dana Kesehatan,35,60453,9,TK Kanisius Theresia
1385,211.003.20,Titipan Lain - lain,47,65000,9,TK Kanisius Theresia
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5824733,10,SD Kanisius Kobong
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,2230196,10,SD Kanisius Kobong
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5100080,10,SD Kanisius Kobong
1362,5.1.1.01,Iuran Pensiun Yadapen,36,249463,10,SD Kanisius Kobong
1348,5.1.1.02,Iuran BPJS Kesehatan,36,648790,10,SD Kanisius Kobong
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,412632,10,SD Kanisius Kobong
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,194637,10,SD Kanisius Kobong
816,211.007,Titipan Iuran YADAPEN,35,144428,10,SD Kanisius Kobong
818,211.009,Titipan Dana BPJS Kesehatan,35,162200,10,SD Kanisius Kobong
815,211.006,Titipan Dana Sosial (IDS),35,30000,10,SD Kanisius Kobong
1371,212.002,Titipan SP,47,2695000,10,SD Kanisius Kobong
812,212.001,Titipan Dana Kesehatan,35,196944,10,SD Kanisius Kobong
817,211.008,Titipan Top Up Yadapen,35,250000,10,SD Kanisius Kobong
1385,211.003.20,Titipan Lain - lain,47,440000,10,SD Kanisius Kobong
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,11099862,11,KB-TK Kanisius Kurmosari
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,6300080,11,KB-TK Kanisius Kurmosari
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,11,KB-TK Kanisius Kurmosari
1362,5.1.1.01,Iuran Pensiun Yadapen,36,340848,11,KB-TK Kanisius Kurmosari
1348,5.1.1.02,Iuran BPJS Kesehatan,36,648790,11,KB-TK Kanisius Kurmosari
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,550176,11,KB-TK Kanisius Kurmosari
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,259516,11,KB-TK Kanisius Kurmosari
816,211.007,Titipan Iuran YADAPEN,35,197335,11,KB-TK Kanisius Kurmosari
818,211.009,Titipan Dana BPJS Kesehatan,35,162200,11,KB-TK Kanisius Kurmosari
815,211.006,Titipan Dana Sosial (IDS),35,45000,11,KB-TK Kanisius Kurmosari
1371,212.002,Titipan SP,47,440000,11,KB-TK Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,35,269091,11,KB-TK Kanisius Kurmosari
817,211.008,Titipan Top Up Yadapen,35,200000,11,KB-TK Kanisius Kurmosari
1385,211.003.20,Titipan Lain - lain,47,695000,11,KB-TK Kanisius Kurmosari
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,31962634,12,SD Kanisius Kurmosari
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,5877984,12,SD Kanisius Kurmosari
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,8950000,12,SD Kanisius Kurmosari
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1400000,12,SD Kanisius Kurmosari
1362,5.1.1.01,Iuran Pensiun Yadapen,36,1215054,12,SD Kanisius Kurmosari
1348,5.1.1.02,Iuran BPJS Kesehatan,36,1686854,12,SD Kanisius Kurmosari
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,2063160,12,SD Kanisius Kurmosari
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,973185,12,SD Kanisius Kurmosari
816,211.007,Titipan Iuran YADAPEN,35,703461,12,SD Kanisius Kurmosari
818,211.009,Titipan Dana BPJS Kesehatan,35,421720,12,SD Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,17,70300,12,SD Kanisius Kurmosari
815,211.006,Titipan Dana Sosial (IDS),35,105000,12,SD Kanisius Kurmosari
1371,212.002,Titipan SP,47,5838300,12,SD Kanisius Kurmosari
812,212.001,Titipan Dana Kesehatan,35,959252,12,SD Kanisius Kurmosari
817,211.008,Titipan Top Up Yadapen,35,250000,12,SD Kanisius Kurmosari
1377,212.003,Titipan Tabungan Tangkas ,47,100000,12,SD Kanisius Kurmosari
1385,211.003.20,Titipan Lain - lain,47,1075000,12,SD Kanisius Kurmosari
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2718436,13,TK Kanisius Pekunden
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1800000,13,TK Kanisius Pekunden
