norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,10000000,184,Kantor Kanisius Cabang Magelang
1362,5.1.1.01,Iuran Pensiun Yadapen,36,100000,184,Kantor Kanisius Cabang Magelang
1348,5.1.1.02,Iuran BPJS Kesehatan,36,200000,184,Kantor Kanisius Cabang Magelang
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,300000,184,Kantor Kanisius Cabang Magelang
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,200000,184,Kantor Kanisius Cabang Magelang
816,211.007,Titipan Iuran YADAPEN,35,400000,184,Kantor Kanisius Cabang Magelang
818,211.009,Titipan Dana BPJS Kesehatan,35,500000,184,Kantor Kanisius Cabang Magelang
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,15000000,66,SD Kanisius Kenalan
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,3000000,66,SD Kanisius Kenalan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,200000,66,SD Kanisius Kenalan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,300000,66,SD Kanisius Kenalan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,500000,66,SD Kanisius Kenalan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,300000,66,SD Kanisius Kenalan
816,211.007,Titipan Iuran YADAPEN,35,400000,66,SD Kanisius Kenalan
818,211.009,Titipan Dana BPJS Kesehatan,35,500000,66,SD Kanisius Kenalan
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,20000000,65,SD Kanisius Pendowo
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,5000000,65,SD Kanisius Pendowo
1362,5.1.1.01,Iuran Pensiun Yadapen,36,500000,65,SD Kanisius Pendowo
1348,5.1.1.02,Iuran BPJS Kesehatan,36,600000,65,SD Kanisius Pendowo
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,700000,65,SD Kanisius Pendowo
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,800000,65,SD Kanisius Pendowo
816,211.007,Titipan Iuran YADAPEN,35,900000,65,SD Kanisius Pendowo
818,211.009,Titipan Dana BPJS Kesehatan,35,1000000,65,SD Kanisius Pendowo
