norek,kdrek,ket,jenis,nilai,nocabang,namacabang
815,211.006,Titipan Dana Sosial (IDS),35,25000,185,Kantor Kanisius Cabang Yogyakarta
814,211.005,Titipan PPH 21,45,172058,185,Kantor Kanisius Cabang Yogyakarta
818,211.009,Titipan Dana BPJS Kesehatan,35,197201,185,Kantor Kanisius Cabang Yogyakarta
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,392099,185,Kantor Kanisius Cabang Yogyakarta
816,211.007,Titipan Iuran YADAPEN,35,415597,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,35,566714,185,Kantor Kanisius Cabang Yogyakarta
1362,5.1.1.01,Iuran Pensiun Yadapen,36,717840,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,17,740000,185,Kantor Kanisius Cabang Yogyakarta
1348,5.1.1.02,Iuran BPJS Kesehatan,36,788803,185,Kantor Kanisius Cabang Yogyakarta
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,831249,185,Kantor Kanisius Cabang Yogyakarta
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1625030,185,Kantor Kanisius Cabang Yogyakarta
1376,211.003.09,Titipan Dana Kegiatan,47,1700000,185,Kantor Kanisius Cabang Yogyakarta
1385,211.003.20,Titipan Lain-Lain,47,5755790,185,Kantor Kanisius Cabang Yogyakarta
1371,212.002,Titipan SP,47,11908473,185,Kantor Kanisius Cabang Yogyakarta
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,36077139,185,Kantor Kanisius Cabang Yogyakarta
815,211.006,Titipan Dana Sosial (IDS),35,20000,128,SD Kanisius Babadan
1385,211.003.20,Titipan Lain-Lain,47,20000,128,SD Kanisius Babadan
818,211.009,Titipan Dana BPJS Kesehatan,35,69260,128,SD Kanisius Babadan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,86340,128,SD Kanisius Babadan
816,211.007,Titipan Iuran YADAPEN,35,109044,128,SD Kanisius Babadan
812,212.001,Titipan Dana Kesehatan,35,148695,128,SD Kanisius Babadan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,183039,128,SD Kanisius Babadan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,188347,128,SD Kanisius Babadan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,277036,128,SD Kanisius Babadan
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300065,128,SD Kanisius Babadan
1371,212.002,Titipan SP,47,1515834,128,SD Kanisius Babadan
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,6046509,128,SD Kanisius Babadan
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,7000065,128,SD Kanisius Babadan
815,211.006,Titipan Dana Sosial (IDS),35,12500,107,SD Kanisius Bandung
818,211.009,Titipan Dana BPJS Kesehatan,35,21880,107,SD Kanisius Bandung
1348,5.1.1.02,Iuran BPJS Kesehatan,36,87522,107,SD Kanisius Bandung
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,87522,107,SD Kanisius Bandung
816,211.007,Titipan Iuran YADAPEN,35,99626,107,SD Kanisius Bandung
812,212.001,Titipan Dana Kesehatan,35,135852,107,SD Kanisius Bandung
1362,5.1.1.01,Iuran Pensiun Yadapen,36,172079,107,SD Kanisius Bandung
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,185546,107,SD Kanisius Bandung
1376,211.003.09,Titipan Dana Kegiatan,47,250000,107,SD Kanisius Bandung
812,212.001,Titipan Dana Kesehatan,17,328000,107,SD Kanisius Bandung
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,107,SD Kanisius Bandung
1371,212.002,Titipan SP,47,2225834,107,SD Kanisius Bandung
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,2800000,107,SD Kanisius Bandung
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5543480,107,SD Kanisius Bandung
815,211.006,Titipan Dana Sosial (IDS),35,35000,87,SD Kanisius Bantul
818,211.009,Titipan Dana BPJS Kesehatan,35,66738,87,SD Kanisius Bantul
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,265974,87,SD Kanisius Bantul
1348,5.1.1.02,Iuran BPJS Kesehatan,36,266948,87,SD Kanisius Bantul
816,211.007,Titipan Iuran YADAPEN,35,272785,87,SD Kanisius Bantul
812,212.001,Titipan Dana Kesehatan,35,371976,87,SD Kanisius Bantul
1362,5.1.1.01,Iuran Pensiun Yadapen,36,471169,87,SD Kanisius Bantul
