norek,kdrek,ket,jenis,nilai,nocabang,namacabang
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,35427276,185,Kantor Kanisius Cabang Yogyakarta
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1625048,185,Kantor Kanisius Cabang Yogyakarta
1348,5.1.1.02,Iuran BPJS Kesehatan,36,739416,185,Kantor Kanisius Cabang Yogyakarta
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,831249,185,Kantor Kanisius Cabang Yogyakarta
1362,5.1.1.01,Iuran Pensiun Yadapen,36,717840,185,Kantor Kanisius Cabang Yogyakarta
818,211.009,Titipan Dana BPJS Kesehatan,35,184856,185,Kantor Kanisius Cabang Yogyakarta
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,392099,185,Kantor Kanisius Cabang Yogyakarta
1376,211.003.09,Titipan Dana Kegiatan,47,1700000,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,17,460373,185,Kantor Kanisius Cabang Yogyakarta
812,212.001,Titipan Dana Kesehatan,35,566714,185,Kantor Kanisius Cabang Yogyakarta
816,211.007,Titipan Iuran YADAPEN,35,415597,185,Kantor Kanisius Cabang Yogyakarta
1385,211.003.20,Titipan Lain-Lain,47,5624390,185,Kantor Kanisius Cabang Yogyakarta
814,211.005,Titipan PPH 21,45,172058,185,Kantor Kanisius Cabang Yogyakarta
1371,212.002,Titipan SP,47,11908472,185,Kantor Kanisius Cabang Yogyakarta
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,6046527,128,SD Kanisius Babadan
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,7000064,128,SD Kanisius Babadan
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300064,128,SD Kanisius Babadan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,258307,128,SD Kanisius Babadan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,183039,128,SD Kanisius Babadan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,188347,128,SD Kanisius Babadan
818,211.009,Titipan Dana BPJS Kesehatan,35,64576,128,SD Kanisius Babadan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,86340,128,SD Kanisius Babadan
812,212.001,Titipan Dana Kesehatan,35,148695,128,SD Kanisius Babadan
816,211.007,Titipan Iuran YADAPEN,35,109044,128,SD Kanisius Babadan
1385,211.003.20,Titipan Lain-Lain,47,20000,128,SD Kanisius Babadan
1371,212.002,Titipan SP,47,1515834,128,SD Kanisius Babadan
1385,211.003.09, Titipan Dana Kegiatan,47,250000,107,SD Kanisius Bandung
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5543514,107,SD Kanisius Bandung
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,2800000,107,SD Kanisius Bandung
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,107,SD Kanisius Bandung
1348,5.1.1.02,Iuran BPJS Kesehatan,36,83256,107,SD Kanisius Bandung
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,185546,107,SD Kanisius Bandung
1362,5.1.1.01,Iuran Pensiun Yadapen,36,172079,107,SD Kanisius Bandung
818,211.009,Titipan Dana BPJS Kesehatan,35,20814,107,SD Kanisius Bandung
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,87522,107,SD Kanisius Bandung
812,212.001,Titipan Dana Kesehatan,35,135852,107,SD Kanisius Bandung
816,211.007,Titipan Iuran YADAPEN,35,99626,107,SD Kanisius Bandung
1371,212.002,Titipan SP,47,2225834,107,SD Kanisius Bandung
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,13224923,87,SD Kanisius Bantul
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,11250000,87,SD Kanisius Bantul
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1539498,87,SD Kanisius Bantul
1348,5.1.1.02,Iuran BPJS Kesehatan,36,255546,87,SD Kanisius Bantul
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,563868,87,SD Kanisius Bantul
1362,5.1.1.01,Iuran Pensiun Yadapen,36,471169,87,SD Kanisius Bantul
818,211.009,Titipan Dana BPJS Kesehatan,35,63886,87,SD Kanisius Bantul
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,265974,87,SD Kanisius Bantul
812,212.001,Titipan Dana Kesehatan,35,371976,87,SD Kanisius Bantul
816,211.007,Titipan Iuran YADAPEN,35,272785,87,SD Kanisius Bantul
1385,211.003.20,Titipan Lain-Lain,47,4978000,87,SD Kanisius Bantul
1371,212.002,Titipan SP,47,3120000,87,SD Kanisius Bantul
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,2839357,97,SD Kanisius Beji
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,7000464,97,SD Kanisius Beji
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,97,SD Kanisius Beji
1348,5.1.1.02,Iuran BPJS Kesehatan,36,491814,97,SD Kanisius Beji
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,92773,97,SD Kanisius Beji
1362,5.1.1.01,Iuran Pensiun Yadapen,36,83383,97,SD Kanisius Beji
818,211.009,Titipan Dana BPJS Kesehatan,35,122956,97,SD Kanisius Beji
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,43761,97,SD Kanisius Beji
1376,211.003.09,Titipan Dana Kegiatan,47,300000,97,SD Kanisius Beji
812,212.001,Titipan Dana Kesehatan,35,65829,97,SD Kanisius Beji
816,211.007,Titipan Iuran YADAPEN,35,48275,97,SD Kanisius Beji
1371,212.002,Titipan SP,47,2150140,97,SD Kanisius Beji
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,10653877,114,SD Kanisius Bonoharjo
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,1400004,114,SD Kanisius Bonoharjo
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,114,SD Kanisius Bonoharjo
1348,5.1.1.02,Iuran BPJS Kesehatan,36,329310,114,SD Kanisius Bonoharjo
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,374432,114,SD Kanisius Bonoharjo
1362,5.1.1.01,Iuran Pensiun Yadapen,36,332451,114,SD Kanisius Bonoharjo
818,211.009,Titipan Dana BPJS Kesehatan,35,82326,114,SD Kanisius Bonoharjo
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,176620,114,SD Kanisius Bonoharjo
812,212.001,Titipan Dana Kesehatan,35,262461,114,SD Kanisius Bonoharjo
816,211.007,Titipan Iuran YADAPEN,35,192474,114,SD Kanisius Bonoharjo
1385,211.003.20,Titipan Lain-Lain,47,20000,114,SD Kanisius Bonoharjo
1371,212.002,Titipan SP,47,2612778,114,SD Kanisius Bonoharjo
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,10627292,139,SD Kanisius Condong Catur
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5600000,139,SD Kanisius Condong Catur
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1250000,139,SD Kanisius Condong Catur
1348,5.1.1.02,Iuran BPJS Kesehatan,36,361421,139,SD Kanisius Condong Catur
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,379433,139,SD Kanisius Condong Catur
1362,5.1.1.01,Iuran Pensiun Yadapen,36,337144,139,SD Kanisius Condong Catur
818,211.009,Titipan Dana BPJS Kesehatan,35,90355,139,SD Kanisius Condong Catur
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,178980,139,SD Kanisius Condong Catur
1376,211.003.09,Titipan Dana Kegiatan,47,250000,139,SD Kanisius Condong Catur
812,212.001,Titipan Dana Kesehatan,35,266166,139,SD Kanisius Condong Catur
816,211.007,Titipan Iuran YADAPEN,35,195191,139,SD Kanisius Condong Catur
1385,211.003.20,Titipan Lain-Lain,47,20000,139,SD Kanisius Condong Catur
1371,212.002,Titipan SP,47,580000,139,SD Kanisius Condong Catur
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,41491580,131,SD Kanisius Demangan Baru I
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,12200190,131,SD Kanisius Demangan Baru I
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,4841532,131,SD Kanisius Demangan Baru I
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,131,SD Kanisius Demangan Baru I
1348,5.1.1.02,Iuran BPJS Kesehatan,36,1551585,131,SD Kanisius Demangan Baru I
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,1789445,131,SD Kanisius Demangan Baru I
1362,5.1.1.01,Iuran Pensiun Yadapen,36,1487787,131,SD Kanisius Demangan Baru I
818,211.009,Titipan Dana BPJS Kesehatan,35,387894,131,SD Kanisius Demangan Baru I
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,844080,131,SD Kanisius Demangan Baru I
812,212.001,Titipan Dana Kesehatan,35,1174567,131,SD Kanisius Demangan Baru I
816,211.007,Titipan Iuran YADAPEN,35,861360,131,SD Kanisius Demangan Baru I
1385,211.003.20,Titipan Lain-Lain,47,19100725,131,SD Kanisius Demangan Baru I
1371,212.002,Titipan SP,47,5594168,131,SD Kanisius Demangan Baru I
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,15305169,123,SD Kanisius Duwet
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,8400094,123,SD Kanisius Duwet
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1969465,123,SD Kanisius Duwet
1348,5.1.1.02,Iuran BPJS Kesehatan,36,689688,123,SD Kanisius Duwet
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,687379,123,SD Kanisius Duwet
1362,5.1.1.01,Iuran Pensiun Yadapen,36,545272,123,SD Kanisius Duwet
818,211.009,Titipan Dana BPJS Kesehatan,35,172421,123,SD Kanisius Duwet
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,324240,123,SD Kanisius Duwet
1376,211.003.09,Titipan Dana Kegiatan,47,250000,123,SD Kanisius Duwet
812,212.001,Titipan Dana Kesehatan,35,430479,123,SD Kanisius Duwet
816,211.007,Titipan Iuran YADAPEN,35,315688,123,SD Kanisius Duwet
1385,211.003.20,Titipan Lain-Lain,47,20000,123,SD Kanisius Duwet
1371,212.002,Titipan SP,47,590000,123,SD Kanisius Duwet
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,5772218,118,SD Kanisius Gamping
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,8400064,118,SD Kanisius Gamping
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,118,SD Kanisius Gamping
1348,5.1.1.02,Iuran BPJS Kesehatan,36,172290,118,SD Kanisius Gamping
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,196394,118,SD Kanisius Gamping
1362,5.1.1.01,Iuran Pensiun Yadapen,36,180770,118,SD Kanisius Gamping
818,211.009,Titipan Dana BPJS Kesehatan,35,43072,118,SD Kanisius Gamping
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,92640,118,SD Kanisius Gamping
812,212.001,Titipan Dana Kesehatan,17,600000,118,SD Kanisius Gamping
812,212.001,Titipan Dana Kesehatan,35,142713,118,SD Kanisius Gamping
816,211.007,Titipan Iuran YADAPEN,35,104657,118,SD Kanisius Gamping
1385,211.003.20,Titipan Lain-Lain,47,20000,118,SD Kanisius Gamping
1371,212.002,Titipan SP,47,5622936,118,SD Kanisius Gamping
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,11319136,88,SD Kanisius Ganjuran
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,7000256,88,SD Kanisius Ganjuran
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,88,SD Kanisius Ganjuran
1348,5.1.1.02,Iuran BPJS Kesehatan,36,590452,88,SD Kanisius Ganjuran
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,375912,88,SD Kanisius Ganjuran
1362,5.1.1.01,Iuran Pensiun Yadapen,36,351837,88,SD Kanisius Ganjuran
818,211.009,Titipan Dana BPJS Kesehatan,35,147610,88,SD Kanisius Ganjuran
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,177316,88,SD Kanisius Ganjuran
1376,211.003.09,Titipan Dana Kegiatan,47,250000,88,SD Kanisius Ganjuran
812,212.001,Titipan Dana Kesehatan,35,277767,88,SD Kanisius Ganjuran
816,211.007,Titipan Iuran YADAPEN,35,203699,88,SD Kanisius Ganjuran
1385,211.003.20,Titipan Lain-Lain,47,20000,88,SD Kanisius Ganjuran
1371,212.002,Titipan SP,47,3946390,88,SD Kanisius Ganjuran
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,9023924,74,SD Kanisius Gayam I
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5600048,74,SD Kanisius Gayam I
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300000,74,SD Kanisius Gayam I
1348,5.1.1.02,Iuran BPJS Kesehatan,36,185982,74,SD Kanisius Gayam I
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,293659,74,SD Kanisius Gayam I
1362,5.1.1.01,Iuran Pensiun Yadapen,36,283433,74,SD Kanisius Gayam I
818,211.009,Titipan Dana BPJS Kesehatan,35,46496,74,SD Kanisius Gayam I
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,138518,74,SD Kanisius Gayam I
812,212.001,Titipan Dana Kesehatan,35,223763,74,SD Kanisius Gayam I
816,211.007,Titipan Iuran YADAPEN,35,164095,74,SD Kanisius Gayam I
1385,211.003.20,Titipan Lain-Lain,47,100000,74,SD Kanisius Gayam I
1371,212.002,Titipan SP,47,1221112,74,SD Kanisius Gayam I
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,8667853,121,SD Kanisius Jetis Depok
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,5600000,121,SD Kanisius Jetis Depok
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1907778,121,SD Kanisius Jetis Depok
1348,5.1.1.02,Iuran BPJS Kesehatan,36,265753,121,SD Kanisius Jetis Depok
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,392788,121,SD Kanisius Jetis Depok
1362,5.1.1.01,Iuran Pensiun Yadapen,36,322642,121,SD Kanisius Jetis Depok
818,211.009,Titipan Dana BPJS Kesehatan,35,66438,121,SD Kanisius Jetis Depok
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,185280,121,SD Kanisius Jetis Depok
1376,211.003.09,Titipan Dana Kegiatan,47,250000,121,SD Kanisius Jetis Depok
812,212.001,Titipan Dana Kesehatan,35,254717,121,SD Kanisius Jetis Depok
816,211.007,Titipan Iuran YADAPEN,35,186796,121,SD Kanisius Jetis Depok
1385,211.003.20,Titipan Lain-Lain,47,20000,121,SD Kanisius Jetis Depok
1371,212.002,Titipan SP,47,4334722,121,SD Kanisius Jetis Depok
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,3244319,94,SD Kanisius Jomegatan
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,4200128,94,SD Kanisius Jomegatan
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1300064,94,SD Kanisius Jomegatan
1348,5.1.1.02,Iuran BPJS Kesehatan,36,342478,94,SD Kanisius Jomegatan
1363,5.1.1.03,Iuran BPJS Tenaga Kerja,36,93978,94,SD Kanisius Jomegatan
1362,5.1.1.01,Iuran Pensiun Yadapen,36,98773,94,SD Kanisius Jomegatan
818,211.009,Titipan Dana BPJS Kesehatan,35,85618,94,SD Kanisius Jomegatan
809,211.001,Titipan Dana BPJS Ketenagakerjaan,35,44329,94,SD Kanisius Jomegatan
1376,211.003.09,Titipan Dana Kegiatan,47,200000,94,SD Kanisius Jomegatan
812,212.001,Titipan Dana Kesehatan,35,217450,94,SD Kanisius Jomegatan
816,211.007,Titipan Iuran YADAPEN,35,57185,94,SD Kanisius Jomegatan
1385,211.003.20,Titipan Lain-Lain,47,20000,94,SD Kanisius Jomegatan
1371,212.002,Titipan SP,47,340000,94,SD Kanisius Jomegatan
865,5.1.2.01,Gaji Guru Tetap Yayasan,16,11451868,133,SD Kanisius Kadirojo
867,5.1.2.03,Gaji Guru Tidak Tetap Yayasan,16,11200285,133,SD Kanisius Kadirojo
866,5.1.2.02,Gaji Karyawan Tetap Yayasan,16,1643707,133,SD Kanisius Kadirojo
868,5.1.2.04,Gaji Karyawan Tidak Tetap Yayasan,16,1275000,133,SD Kanisius Kadirojo
