tanggal,akunbank,akunlawan,keterangan,debet,kredit,noCabang
09/04/2023,110.111,4.1.3.05,Angs.Pembangunan I - SDK Wonosari 2,2000000,,185
09/04/2023,110.111,4.1.3.05,Angsuran tunai pinjan pembangunan SDK Wonosari 2,2000000,,185
09/04/2023,110.111,4.1.1,Setoran USPP Tahun 2023-2024 SDK Pulutan,900000,,185
09/04/2023,110.111,4.1.1,Setoran USPP Tahun 2023-2024 TKK Wates,3700000,,185
09/04/2023,110.111,110.302,Setoran SPP tunggakan Tahun 2022-2023 SDK Kembaran,1030000,,185
09/04/2023,110.111,5.5.04,Kolekte Jumat kasih 5 Roti 2 Ikan - SDK Duwet,200000,,185
09/04/2023,110.111,5.1.2.04,Gajian tunai bulan Agustus 2023 - V.Nervi P. SDK Demangan Baru,,1350000,185
09/04/2023,110.111,5.7.5.02,Pembelian kenang-kenangan mutasi tugas-Endang W. SDK Ngawen,,202000,185
09/04/2023,110.111,5.7.1.05,Konsumsi rapat gajian Kepala Sekolah Kantor YKCY,,1460000,185
09/04/2023,110.111,5.7.1.10,Pembelian konsumsi dan oleh-oleh tu dari ASJI,,231200,185
