tanggal,akunbank,akunlawan,keterangan,debet,kredit,noCabang
7/26/2024,103.001,102.434,Droping Juli TK Yusuf,0,24800000.00,62
7/26/2024,103.001,102.435,Droping Juli SD Yusuf,0,75300000.00,62
7/26/2024,103.001,102.436,Droping Juli SMP Yusuf,0,83800000.00,62
7/26/2024,103.001,102.437,Droping Juli SMA Yusuf,0,102100000.00,62
7/26/2024,103.001,102.442,Droping Juli TK Yos 1,0,27000000.00,62
7/26/2024,103.001,102.438,Droping Juli TK Yos 2,0,85300000.00,62
7/26/2024,103.001,102.439,Droping Juli SD Yos Sudarso,0,178100000.00,62
7/26/2024,103.001,102.443,Droping Juli SD Yos Sudarso 2,0,102300000.00,62
7/26/2024,103.001,102.444,Droping Juli SD Yos Sudarso 3,0,100000000.00,62
7/26/2024,103.001,102.445,Droping Juli SD Ignatius Loyola,0,48300000.00,62
7/26/2024,103.001,102.440,Droping Juli SMP Yos Sudarso,0,263300000.00,62
7/26/2024,103.001,102.441,Droping Juli SMA Yos Sudarso,0,291900000.00,62
7/26/2024,103.001,102.448,Droping Juli STIE Bentara,0,117900000.00,62
7/26/2024,103.001,102.446,Droping Juli TK Fransiskus,0,34600000.00,62
7/26/2024,103.001,102.430,Droping Juli TK Bernadeth,0,35100000.00,62
7/26/2024,103.001,102.431,Droping Juli SD Katolik,0,180800000.00,62
7/26/2024,103.001,102.432,Droping Juli SMP Katolik,0,80200000.00,62
7/26/2024,103.001,102.433,Droping Juli SMA Maria,0,80500000.00,62
7/26/2024,103.001,102.447,Droping Juli SD Carolus,0,18700000.00,62
7/26/2024,103.001,102.423,Droping Juli TK Regina Pacis,0,23600000.00,62
7/26/2024,103.001,102.424,Droping Juli SD Regina Pacis,0,78700000.00,62
7/26/2024,103.001,102.425,Droping Juli SMP Regina Pacis,0,51600000.00,62
7/26/2024,103.001,102.426,Droping Juli TK Regina 2,0,6800000.00,62
7/26/2024,103.001,102.427,Droping Juli TK Hilarius,0,24900000.00,62
7/26/2024,103.001,102.428,Droping Juli SD Hilarius,0,92400000.00,62
7/26/2024,103.001,102.429,Droping Juli SMP Hilarius,0,49700000.00,62
7/26/2024,103.001,102.417,Droping Juli TK Maria,0,29400000.00,62
7/26/2024,103.001,102.418,Droping Juli SD Maria,0,76900000.00,62
7/26/2024,103.001,102.419,Droping Juli SMP Maria,0,53300000.00,62
7/26/2024,103.001,102.414,Droping Juli KB/TK Agnes,0,17800000.00,62
7/26/2024,103.001,102.415,Droping Juli SD Agnes,0,66400000.00,62
7/26/2024,103.001,102.416,Droping Juli SMP Yosef,0,50700000.00,62
7/26/2024,103.001,102.420,Droping Juli TK Xaverius,0,23800000.00,62
7/26/2024,103.001,102.421,Droping Juli TK Karya,0,16900000.00,62
7/26/2024,103.001,102.422,Droping Juli SD Karya,0,42800000.00,62
7/26/2024,103.001,102.411,Droping Juli TK Maria Goretti,0,29700000.00,62
7/26/2024,103.001,102.412,Droping Juli SD Maria Goretti,0,79700000.00,62
7/26/2024,103.001,102.413,Droping Juli SMP Maria Goretti,0,77900000.00,62
7/26/2024,103.001,102.401,Droping Juli TK Theresia 2,0,24000000.00,62
7/26/2024,103.001,102.407,Droping Juli TK Paulus 1,0,23600000.00,62
7/26/2024,103.001,102.402,Droping Juli SD Theresia 1,0,167900000.00,62
7/26/2024,103.001,102.403,Droping Juli SD Theresia 2,0,72500000.00,62
7/26/2024,103.001,102.408,Droping Juli SD Paulus 1,0,88300000.00,62
7/26/2024,103.001,102.409,Droping Juli SD Paulus 2,0,60800000.00,62
7/26/2024,103.001,102.404,Droping Juli SMP Theresia,0,149900000.00,62
7/26/2024,103.001,102.410,Droping Juli SMP Paulus,0,63400000.00,62
7/26/2024,103.001,102.405,Droping Juli SMA Yosef,0,233500000.00,62
7/26/2024,103.001,102.406,Droping Juli SMK Tunas Karya,0,121200000.00,62
